Address,Value,Hex,Char
0,128,0x80,.
1,236,0xEC,.
2,0,0x00,.
3,4,0x04,.
4,2,0x02,.
5,64,0x40,@
6,0,0x00,.
7,4,0x04,.
8,196,0xC4,.
9,30,0x1E,.
10,0,0x00,.
11,4,0x04,.
12,3,0x03,.
13,84,0x54,T
14,0,0x00,.
15,4,0x04,.
16,84,0x54,T
17,161,0xA1,.
18,80,0x50,P
19,198,0xC6,.
20,63,0x3F,?
21,0,0x00,.
22,4,0x04,.
23,1,0x01,.
24,128,0x80,.
25,0,0x00,.
26,4,0x04,.
27,132,0x84,.
28,10,0x0A,.
29,0,0x00,.
30,4,0x04,.
31,0,0x00,.
32,0,0x00,.
33,0,0x00,.
34,0,0x00,.
35,0,0x00,.
36,0,0x00,.
37,0,0x00,.
38,0,0x00,.
39,0,0x00,.
40,0,0x00,.
41,0,0x00,.
42,0,0x00,.
43,0,0x00,.
44,0,0x00,.
45,0,0x00,.
46,0,0x00,.
47,0,0x00,.
48,0,0x00,.
49,0,0x00,.
50,0,0x00,.
51,0,0x00,.
52,0,0x00,.
53,0,0x00,.
54,0,0x00,.
55,0,0x00,.
56,0,0x00,.
57,0,0x00,.
58,0,0x00,.
59,0,0x00,.
60,0,0x00,.
61,0,0x00,.
62,0,0x00,.
63,0,0x00,.
64,0,0x00,.
65,0,0x00,.
66,0,0x00,.
67,0,0x00,.
68,0,0x00,.
69,0,0x00,.
70,0,0x00,.
71,0,0x00,.
72,0,0x00,.
73,0,0x00,.
74,0,0x00,.
75,0,0x00,.
76,0,0x00,.
77,0,0x00,.
78,0,0x00,.
79,0,0x00,.
80,0,0x00,.
81,0,0x00,.
82,0,0x00,.
83,0,0x00,.
84,0,0x00,.
85,0,0x00,.
86,0,0x00,.
87,0,0x00,.
88,0,0x00,.
89,0,0x00,.
90,0,0x00,.
91,0,0x00,.
92,0,0x00,.
93,0,0x00,.
94,0,0x00,.
95,0,0x00,.
96,0,0x00,.
97,0,0x00,.
98,0,0x00,.
99,0,0x00,.
